payment_id,expected_status,expected_settlement_id,expected_bank_txn_id,expected_variance_paise,scenario,expected_review_flag
pay_001,FULLY_RECONCILED,setl_001,bank_001,0,clean,false
pay_002,FULLY_RECONCILED,setl_002,bank_002,0,missing_utr,false
pay_003,FULLY_RECONCILED,setl_003,bank_003,0,clean,false
pay_004,FULLY_RECONCILED,setl_004,bank_004,0,clean,false
pay_005,FULLY_RECONCILED,setl_005,bank_005,0,clean,false
pay_006,FULLY_RECONCILED,setl_006,bank_006,0,clean,false
pay_007,TIMING_DELAY,setl_007,,0,delayed_bank_credit,true
pay_008,FULLY_RECONCILED,setl_008,bank_008,0,clean,false
pay_009,FULLY_RECONCILED,setl_009,bank_009,0,clean,false
pay_010,TIMING_DELAY,setl_010,,0,delayed_bank_credit,true
pay_011,AMOUNT_MISMATCH,setl_011,bank_011,-30000,amount_mismatch,true
pay_012,AMOUNT_MISMATCH,setl_012,bank_012,-45000,amount_mismatch,true
pay_013,FULLY_RECONCILED,setl_013,bank_013,0,clean,false
pay_014,FULLY_RECONCILED,setl_014,bank_014,0,clean,false
pay_015,DUPLICATE,setl_015,bank_015,0,duplicate_settlement,true
pay_016,FULLY_RECONCILED,setl_016,bank_016,0,clean,false
pay_017,FULLY_RECONCILED,setl_017,bank_017,0,missing_utr,false
pay_018,FULLY_RECONCILED,setl_018,bank_018,0,clean,false
pay_019,FULLY_RECONCILED,setl_019,bank_019,0,clean,false
pay_020,FULLY_RECONCILED,setl_020,bank_020,0,clean,false
pay_021,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_022,TIMING_DELAY,setl_022,,0,delayed_bank_credit,true
pay_023,FULLY_RECONCILED,setl_023,bank_023,0,same_amount_clean,false
pay_024,FULLY_RECONCILED,setl_024,bank_024,0,missing_utr,false
pay_025,FULLY_RECONCILED,setl_025,bank_025,0,clean,false
pay_026,MISSING_BANK_CREDIT,setl_026,,0,missing_bank_credit,true
pay_027,FULLY_RECONCILED,setl_027,bank_027,0,clean,false
pay_028,FULLY_RECONCILED,setl_028,bank_028,0,clean,false
pay_029,FULLY_RECONCILED,setl_029,bank_029,0,clean,false
